lat, lon, direction, pointcode
51.072428,2.662159,L2R,0
51.072639,2.662081,R,0
51.072718,2.662395,0,1
51.072828,2.664059,R,1
51.072225,2.664276,L6R2Z8L,0
51.072044,2.665882,R,0
51.071668,2.665788,R8L2Z,0
51.071559,2.665701,L2Z9R,0
51.071102,2.665682,L,0
51.070477,2.667421,L35R2Z,0
51.070567,2.668219,R,0
51.068591,2.667370,R,0
51.068154,2.664596,L9R2Z8R2Z,0
51.068290,2.664226,L,0
51.068694,2.660569,R3L,0
51.07009625833091,2.6582692711639533,R,1
51.070317,2.659096,L,1
51.07048156130789,2.6590644576721134,0,1
51.070581,2.659073,R2Z8L,0
51.071521,2.658743,R,0
51.071802,2.659977,L,1
51.072482,2.659497,R,0
51.072919,2.660355,R,0
51.072742,2.660960,L,0
51.072679,2.661597,L,3
